"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"ogółem";"2021";682,10;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2022";820,89;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2023";1128,43;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2002";106;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2003";129;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2004";150;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2005";232;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2006";298,27;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2007";332,86;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2008";359,46;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2009";670,78;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2010";544,85;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2011";476,89;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2012";407,10;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2013";440,07;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2014";470,76;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2015";391,95;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2016";460,89;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2017";451,29;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2018";503,91;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2019";518,34;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2020";569,84;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2021";568,32;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2022";719,60;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2023";880,68;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2002";115;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2003";136;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2004";153;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2005";150;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2006";261,57;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2007";244,82;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2008";308,03;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2009";547,56;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2010";460,56;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2011";452,32;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2012";418,52;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2013";522,48;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2014";591,38;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2015";623,55;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2016";288,75;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2017";430,79;"zł";"";
